Time,SeaGuard_Nord_Conductivity_Sensor.Conductivity,SeaGuard_Nord_Conductivity_Sensor.Temperature,SeaGuard_Nord_Pressure_Sensor.Pressure,SeaGuard_Nord_Pressure_Sensor.Temperature,SeaGuard_Sor_Conductivity_Sensor.Conductivity,SeaGuard_Sor_Conductivity_Sensor.Temperature,SeaGuard_Sor_Pressure_Sensor.Pressure,SeaGuard_Sor_Pressure_Sensor.Temperature
2022-11-26T11:30:00Z,36.1218,10.877,335.73,10.8808,38.0933,11.7227,743.556,11.7213
2022-11-26T12:00:00Z,36.0269,10.8249,335.244,10.8263,38.1343,11.7485,743.021,11.7481
2022-11-26T12:30:00Z,36.0318,10.8442,334.505,10.8471,38.2248,11.7913,742.341,11.7884
2022-11-26T13:00:00Z,36.1125,10.8821,333.399,10.8834,38.3729,11.8345,741.206,11.8363
2022-11-26T13:30:00Z,36.0954,10.8793,332.186,10.8814,38.5229,11.8804,740.028,11.885
2022-11-26T14:00:00Z,36.0621,10.8603,330.909,10.8606,38.5664,11.8473,738.762,11.8489
2022-11-26T14:30:00Z,36.0632,10.8583,329.769,10.8598,38.6514,11.8432,737.591,11.8428
2022-11-26T15:00:00Z,36.1619,10.8997,328.649,10.8998,38.6503,11.844,736.502,11.8469
2022-11-26T15:30:00Z,36.2977,10.9612,327.505,10.9625,38.6248,11.8531,735.374,11.8563
2022-11-26T16:00:00Z,36.3086,10.9727,326.45,10.9725,38.7013,11.8537,734.336,11.8562
2022-11-26T16:30:00Z,36.341,10.9668,325.711,10.971,38.702,11.8527,733.622,11.85
2022-11-26T17:00:00Z,36.2508,10.9227,325.336,10.9232,38.7696,11.8072,733.324,11.809
2022-11-26T17:30:00Z,36.2512,10.9207,325.411,10.9217,38.7242,11.709,733.428,11.7116
2022-11-26T18:00:00Z,36.4297,11.1705,326.107,11.1903,38.7203,11.6566,734.211,11.6561
2022-11-26T18:30:00Z,36.3202,11.0037,327.011,11.0089,38.742,11.7053,735.297,11.7072
2022-11-26T19:00:00Z,36.0745,10.8868,327.836,10.895,38.752,11.8138,736.012,11.8126
2022-11-26T19:30:00Z,36.2349,11.0494,328.895,11.0499,38.7055,11.8427,737.089,11.8476
