timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature,dcps_current_speed,dcps_current_direction,dcps_current_speed_north,dcps_current_speed_east,dcps_current_speed_vertical,dcps_current_speed_std,dcps_signal_strength,dcps_cross_difference
2024-06-02 08:30,32.757,10.5767,29.1344,1022.28,1484.8,240.487,10.5747,57.3434,153.997,-38.2549,10.1196,4.00362,54.6031,-3.132,-16.9346
2024-06-02 09:00,32.9357,10.8913,29.0595,1022.17,1485.84,239.654,10.8712,32.3096,151.781,-28.4694,15.2775,1.33547,35.9908,-2.25878,2.0052
2024-06-02 09:30,32.7054,10.4679,29.1704,1022.33,1484.45,238.829,10.4092,47.8109,152.752,-42.5054,21.8901,1.93751,43.5362,-2.70219,-4.56374
2024-06-02 10:00,32.2238,9.64928,29.3516,1022.6,1481.69,238.18,9.65765,45.5129,152.862,-40.5024,20.76,1.48618,41.7197,-2.88269,0.696104
2024-06-02 10:57,31.993,9.26145,29.4358,1022.73,1480.36,237.37,9.25975,15.6454,144.756,-12.7777,9.02824,-1.68602,38.53,-1.46819,2.02896
2024-06-02 11:00,32.2213,9.66455,29.3367,1022.59,1481.73,236.702,9.66634,40.4318,142.562,-32.1031,24.5788,3.2168,37.7594,-2.48705,-3.88919
2024-06-02 11:30,32.0352,9.34501,29.41,1022.69,1480.64,236.273,9.34863,39.1196,152.074,-34.5642,18.3211,-0.917357,37.136,-2.27297,6.03831
2024-06-02 12:00,31.9663,9.21497,29.447,1022.74,1480.2,236.252,9.20896,52.099,86.0011,-12.9161,41.8573,10.4277,65.1804,-2.44511,-16.3695
2024-06-02 12:30,31.8951,9.05261,29.5084,1022.81,1479.67,236.428,9.04239,43.7745,117.151,-19.9762,38.9507,2.49648,38.6175,-2.76426,-0.0816553
2024-06-02 13:00,31.8471,8.99701,29.5053,1022.82,1479.46,236.762,8.99316,46.1739,143.137,-36.9424,27.6999,1.4747,40.8006,-2.48984,1.30823
2024-06-02 13:30,31.6182,8.56182,29.6323,1022.98,1477.98,237.343,8.55283,47.7651,139.171,-36.142,31.2291,2.61023,41.3656,-2.67947,6.10857
2024-06-02 14:00,31.8275,8.96567,29.5112,1022.83,1479.35,237.891,8.93417,39.0523,150.111,-33.8579,19.4608,0.322365,70.201,-3.79837,2.85551
2024-06-02 14:30,31.7167,8.77851,29.5529,1022.89,1478.7,238.735,8.76546,45.9508,135.155,-32.5798,32.4042,-0.886845,42.2042,-2.62366,-5.74639
2024-06-02 15:00,31.5508,8.427,29.6756,1023.04,1477.52,239.556,8.45512,46.18,99.6914,-7.774,45.521,2.42279,59.3613,-2.98292,0.260303
2024-06-02 15:30,31.6293,8.54734,29.656,1023.0,1477.95,240.22,8.44289,45.5258,109.316,-15.0593,42.963,0.446704,39.2546,-2.70447,3.10531
2024-06-02 16:00,31.4688,8.17797,29.8004,1023.17,1476.73,240.829,8.18094,53.568,133.562,-36.9159,38.8169,2.79993,35.2034,-2.92311,-5.61942
2024-06-02 16:30,31.5194,8.2668,29.7781,1023.14,1477.04,241.878,8.26772,45.5521,122.877,-24.7271,38.2566,0.304945,32.2798,-4.26329,2.06462
2024-06-02 17:00,31.5626,8.26216,29.8272,1023.18,1477.08,242.654,8.24058,8.62936,89.4107,0.0887595,8.62891,2.34422,29.3781,-7.7527,5.58788
2024-06-02 17:30,31.6064,8.38708,29.7671,1023.11,1477.48,243.118,8.3692,28.546,112.834,-11.0778,26.3088,2.21036,32.034,-6.34438,5.48715
2024-06-02 18:00,31.5996,8.39104,29.7567,1023.1,1477.48,243.716,8.38204,13.3653,86.9106,0.72031,13.3459,0.872537,31.6548,-7.14928,3.8469
