timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature,dcps_current_speed,dcps_current_direction,dcps_current_speed_north,dcps_current_speed_east,dcps_current_speed_vertical,dcps_current_speed_std,dcps_signal_strength,dcps_cross_difference
2023-08-30 03:00,35.3123,14.2442,28.719,1021.29,1496.93,305.828,14.2598,56.9776,246.434,-22.7796,-52.2259,0.610236,30.8559,-8.03085,1.32765
2023-08-30 03:30,35.4405,14.1955,28.871,1021.42,1496.94,306.176,14.207,55.2679,257.791,-11.6878,-54.0179,0.149122,27.1686,-8.24796,0.252195
2023-08-30 04:00,35.3989,14.3451,28.7222,1021.27,1497.26,306.809,14.3617,22.5575,273.631,1.42864,-22.5122,4.00733,28.1613,-8.56268,-8.19864
2023-08-30 04:30,35.4696,14.3979,28.7466,1021.28,1497.46,307.553,14.4083,11.4258,24.4449,10.4016,4.72821,0.685061,30.948,-6.96716,1.89353
2023-08-30 05:00,35.4958,14.5174,28.6817,1021.21,1497.78,308.467,14.5276,2.88332,98.6749,-0.434882,2.85033,-0.164913,26.6171,-18.7113,-2.52688
2023-08-30 05:30,35.5424,14.4589,28.7669,1021.28,1497.69,309.619,14.4802,7.36974,271.879,0.241696,-7.36577,0.370906,31.0507,-12.2547,2.34728
2023-08-30 06:00,35.5658,14.3457,28.872,1021.39,1497.44,310.799,14.3567,10.2232,288.452,3.23569,-9.69766,2.4042,33.639,-1.97104,0.486942
2023-08-30 06:30,35.6812,14.3294,28.9882,1021.48,1497.52,311.829,14.3439,16.7445,236.317,-9.2864,-13.9334,3.54816,28.2979,-12.3375,-6.93011
2023-08-30 07:00,35.6976,14.2552,29.0586,1021.55,1497.36,312.856,14.2706,2.55305,2.76352,2.55008,0.123092,0.6438,32.0585,-9.121,-2.7734
2023-08-30 07:30,35.8267,14.386,29.0769,1021.54,1497.81,313.964,14.3987,40.8026,243.4,-18.2697,-36.4838,0.645716,29.4224,-5.98026,4.80737
2023-08-30 08:26,35.4222,14.5067,28.6237,1021.16,1497.67,315.001,14.5302,47.6824,237.957,-25.2981,-40.418,0.606481,26.0729,-5.13499,-0.575975
2023-08-30 08:30,35.3644,14.5673,28.5273,1021.08,1497.76,315.654,14.6073,37.5757,208.898,-32.8968,-18.1585,-0.0915807,29.054,-7.44283,-4.18851
2023-08-30 09:00,35.339,14.4773,28.5707,1021.13,1497.52,315.878,14.4941,15.9247,219.348,2.24065,-11.9587,4.6527,45.0376,-7.03221,-12.4147
2023-08-30 09:30,35.5765,14.6279,28.6725,1021.18,1498.13,315.713,14.6486,1.9252,342.872,1.83982,-0.566975,0.537741,29.6259,-9.14297,2.19833
2023-08-30 10:00,35.4927,14.8462,28.4379,1020.95,1498.56,315.284,14.8638,41.9803,228.488,-27.8233,-31.4358,0.253093,28.2531,-9.30738,7.42245
2023-08-30 10:28,35.4514,14.9938,28.2942,1020.81,1498.87,314.618,15.01,51.6196,215.892,-41.8182,-30.2625,0.448903,26.4052,-11.2449,2.84686
2023-08-30 10:58,35.5149,15.0162,28.3341,1020.84,1498.99,313.737,15.0394,17.432,154.84,-15.7781,7.41114,1.45363,27.6361,-11.1372,0.864816
2023-08-30 11:30,35.7999,15.02,28.5837,1021.03,1499.29,312.646,15.0499,18.4267,172.181,-18.2554,2.50699,-0.842767,26.8371,-10.1993,-3.63995
2023-08-30 12:00,36.017,15.1095,28.7104,1021.11,1499.73,311.397,15.1297,21.6187,167.441,-21.1014,4.70095,-0.152983,24.6661,-15.4548,1.32899
2023-08-30 12:30,35.6797,15.2438,28.3152,1020.77,1499.7,310.365,15.2578,19.0845,156.254,-17.4688,7.68512,1.47928,28.7587,-13.7394,1.07993
2023-08-30 13:00,35.6279,15.3318,28.2064,1020.67,1499.86,309.211,15.3698,17.508,149.071,-15.0184,8.99872,-0.445836,22.4523,-12.997,1.00866
2023-08-30 13:30,35.5883,15.1799,28.2808,1020.76,1499.46,308.094,15.1813,11.5492,193.349,-11.2372,-2.66648,-0.442133,25.6077,-11.2627,2.5103
2023-08-30 14:00,35.5095,15.0822,28.2817,1020.78,1499.14,307.267,15.0646,13.5464,171.215,-13.3875,2.06902,0.361042,24.326,-12.3344,-2.77494
2023-08-30 14:30,35.4916,15.2521,28.1438,1020.64,1499.53,306.505,15.2759,8.82255,70.9684,2.87694,8.3403,-0.0955902,32.8561,-4.92254,-0.856902
2023-08-30 15:00,35.4829,15.0542,28.2784,1020.79,1499.05,306.255,15.0637,7.78934,49.3413,5.07516,5.90902,-0.156781,29.6587,-14.8378,4.89406
2023-08-30 15:30,35.5552,15.1287,28.2885,1020.78,1499.3,306.65,15.142,39.3296,157.927,-36.447,14.7794,0.169765,27.2899,-8.64291,0.247087
2023-08-30 16:00,35.4632,15.0406,28.2708,1020.78,1499.0,307.134,15.0605,56.2766,132.118,-37.7426,41.7439,0.311429,28.2415,-5.09095,-4.78699
2023-08-30 16:30,35.4639,15.1475,28.1944,1020.7,1499.25,307.814,15.175,46.5527,140.702,-36.0256,29.484,2.55685,27.7652,-4.4291,-3.31382
2023-08-30 17:00,35.4645,15.1795,28.172,1020.68,1499.33,308.704,15.2174,43.9912,135.563,-31.4105,30.7994,-0.433012,30.002,-4.56912,-7.94971
2023-08-30 17:30,35.483,15.1159,28.234,1020.74,1499.2,309.668,15.1291,43.7302,100.841,-8.22527,42.9497,1.12424,29.015,-6.9531,-2.42683
2023-08-30 18:00,35.4265,15.0785,28.211,1020.73,1499.05,310.825,15.0881,15.3681,101.906,9.91844,15.478,5.68804,45.3674,-4.50437,-11.0976
2023-08-30 18:30,35.2925,14.9864,28.1589,1020.71,1498.69,311.93,15.0042,59.6457,153.135,-53.2084,26.9531,0.330101,32.5268,-3.28059,3.96819
2023-08-30 18:58,35.2529,15.022,28.0983,1020.65,1498.74,312.984,15.0251,29.5617,102.587,-19.8363,25.2062,-1.07171,43.5165,-6.35434,11.7568
2023-08-30 19:30,35.3619,14.9518,28.2452,1020.78,1498.68,314.13,14.9573,59.594,165.655,-57.736,14.7649,-0.893432,38.2578,-2.42764,2.69632
2023-08-30 19:58,35.6059,14.9867,28.4361,1020.92,1499.01,315.264,15.0039,51.6958,150.455,-44.9738,25.4914,-3.83708,33.063,-2.56539,0.48816
2023-08-30 20:30,35.6543,15.0425,28.4385,1020.91,1499.2,316.108,15.0851,58.8559,156.116,-53.8161,23.8295,1.78827,36.7958,-3.30333,-8.73709
