observed,predicted,low,high,anomalous,err,threshold
309.697,314.8436932563782,308.05697667598724,321.6304111480713,False,0.05472820552737303,0.3084871172904968
308.885,312.6194952726364,305.85106086730957,319.38792967796326,False,0.028814989548230974,0.30765610933303833
308.08,310.54502308368683,303.87198197841644,317.2180641889572,False,0.012554419014688017,0.303320050239563
307.402,308.7979745268822,302.2078529596329,315.38809609413147,False,0.00402633239608252,0.29955098032951355
307.001,307.4246503710747,300.88764375448227,313.961656332016,False,0.00037082569609861807,0.29713666439056396
307.109,306.7864009141922,300.29025316238403,313.28254866600037,False,0.0002150210127355697,0.29527944326400757
307.382,307.0044547319412,300.5409400463104,313.467969417572,False,0.0002945050194908625,0.2937961220741272
307.98,307.39576041698456,300.96422708034515,313.82729375362396,False,0.0007052394428968582,0.2923424243927002
308.878,308.1117537021637,301.7121112346649,314.5113961696625,False,0.0012130855143549987,0.2908928394317627
309.626,309.0840685367584,302.7159786224365,315.4521584510803,False,0.0006067969232461392,0.28945863246917725
310.488,309.99448335170746,303.66043877601624,316.3285279273987,False,0.0005032204176485626,0.2879111170768738
311.411,310.61613500118256,304.3152329325676,316.9170377254486,False,0.0013053933188947433,0.28640463948249817
312.306,311.86451041698456,305.59419971704483,318.1348204612732,False,0.00040271291717176345,0.2850141227245331
313.268,312.52192783355713,306.2858001589775,318.75805616378784,False,0.001150048920538675,0.2834603488445282
314.121,313.8199714422226,307.6149799823761,320.0249629020691,False,0.0001872276706560593,0.28204506635665894
314.855,314.47560024261475,308.3044895529747,320.6467115879059,False,0.00029740532211570834,0.2805050313472748
315.351,315.4004157781601,309.26163589954376,321.5391969680786,False,5.045287461090338e-06,0.27903544902801514
315.607,315.77844846248627,309.67199939489365,321.88489818573,False,6.073259357209798e-05,0.2775658667087555
315.277,315.9826549291611,309.9081039428711,322.05720591545105,False,0.0010288199980358205,0.27611595392227173
314.679,315.32809484004974,309.2832114100456,321.37297892570496,False,0.0008705043623537951,0.2747674286365509
314.057,314.52522909641266,308.51223915815353,320.5382196903229,False,0.0004529720800152891,0.27331772446632385
313.033,314.0437202453613,308.0635961294174,320.02384436130524,False,0.0021106516826099827,0.27182382345199585
311.952,312.65978240966797,306.70756608247757,318.6119980812073,False,0.0010350329327177656,0.2705552875995636
310.911,311.49890100955963,305.5796173810959,317.4181846380234,False,0.0007141066054570923,0.26905834674835205
309.861,310.430530667305,304.5438381433487,316.3172231912613,False,0.0006701759938034747,0.2675769329071045
308.78,309.40817391872406,303.5523186326027,315.26402854919434,False,0.0008152943639776372,0.266175240278244
307.839,308.37326669692993,302.54798901081085,314.198544383049,False,0.0005897539327446705,0.2647853493690491
307.014,307.4657629728317,301.67201948165894,313.2595064640045,False,0.0004216731066565071,0.2633519768714905
306.203,306.6946622133255,300.9325158596039,312.4568085670471,False,0.0004994457272978404,0.26191574335098267
305.79,305.93825525045395,300.2069684267044,311.6695420742035,False,4.541243654371329e-05,0.260513037443161
305.828,305.6426221728325,299.9431285262108,311.3421151638031,False,7.10019396804511e-05,0.2590678930282593
306.176,305.65175473690033,299.9831717610359,311.32033705711365,False,0.0005678369749636982,0.2576628625392914
306.809,306.18989741802216,300.5509479045868,311.8288469314575,False,0.0007919173698588129,0.2563158869743347
307.553,306.9109719991684,301.3022322654724,312.5197117328644,False,0.0008516527972145101,0.25494271516799927
308.467,307.7560433149338,302.17796313762665,313.3341234922409,False,0.001044337619918038,0.25354909896850586
309.619,308.7508338689804,303.2029837965965,314.2986845970154,False,0.0015572570889454086,0.2521750032901764
