timestamp,conductivity_conductivity_observed,conductivity_conductivity_predicted,conductivity_conductivity_low,conductivity_conductivity_high,conductivity_conductivity_anomalous,err,threshold,attention_weights
17,36.687400,35.409031,35.175031,35.643031,False,0.009670,0.018000,conductivity_conductivity:0.2174|conductivity_temperature:0.1908|conductivity_salinity:0.2094|conductivity_density:0.1799|conductivity_soundspeed:0.2025
18,35.085800,35.774550,35.540550,36.008550,False,0.002807,0.018000,conductivity_conductivity:0.2162|conductivity_temperature:0.1923|conductivity_salinity:0.2082|conductivity_density:0.1800|conductivity_soundspeed:0.2033
19,35.237900,35.949179,35.715179,36.183179,False,0.002994,0.018000,conductivity_conductivity:0.2153|conductivity_temperature:0.1932|conductivity_salinity:0.2075|conductivity_density:0.1803|conductivity_soundspeed:0.2038
20,35.441600,36.060437,35.826437,36.294437,False,0.002266,0.018000,conductivity_conductivity:0.2117|conductivity_temperature:0.1962|conductivity_salinity:0.2054|conductivity_density:0.1816|conductivity_soundspeed:0.2050
21,34.922700,36.273353,36.039353,36.507353,False,0.010794,0.018000,conductivity_conductivity:0.2114|conductivity_temperature:0.1958|conductivity_salinity:0.2060|conductivity_density:0.1823|conductivity_soundspeed:0.2044
22,35.118700,33.981543,33.747543,34.215543,False,0.007652,0.018000,conductivity_conductivity:0.2112|conductivity_temperature:0.1949|conductivity_salinity:0.2071|conductivity_density:0.1832|conductivity_soundspeed:0.2036
23,35.106000,34.344192,34.110192,34.578192,False,0.003434,0.018000,conductivity_conductivity:0.2104|conductivity_temperature:0.1947|conductivity_salinity:0.2077|conductivity_density:0.1842|conductivity_soundspeed:0.2030
24,35.068600,34.088486,33.854486,34.322486,False,0.005684,0.018000,conductivity_conductivity:0.2108|conductivity_temperature:0.1938|conductivity_salinity:0.2086|conductivity_density:0.1844|conductivity_soundspeed:0.2023
25,34.909100,34.315877,34.081877,34.549877,False,0.002082,0.018000,conductivity_conductivity:0.2104|conductivity_temperature:0.1939|conductivity_salinity:0.2086|conductivity_density:0.1849|conductivity_soundspeed:0.2022
26,34.957700,33.778773,33.544773,34.012773,False,0.008224,0.018000,conductivity_conductivity:0.2100|conductivity_temperature:0.1944|conductivity_salinity:0.2082|conductivity_density:0.1849|conductivity_soundspeed:0.2025
27,34.887300,34.205781,33.971781,34.439781,False,0.002748,0.018000,conductivity_conductivity:0.2096|conductivity_temperature:0.1951|conductivity_salinity:0.2076|conductivity_density:0.1848|conductivity_soundspeed:0.2029
