timestamp,conductivity_conductivity_observed,conductivity_conductivity_predicted,conductivity_conductivity_low,conductivity_conductivity_high,conductivity_conductivity_anomalous,err,threshold,attention_weights
46,35.591400,35.947471,35.755071,36.139871,False,0.000750,0.014800,conductivity_conductivity:0.2144|conductivity_temperature:0.1944|conductivity_salinity:0.2064|conductivity_density:0.1802|conductivity_soundspeed:0.2046
47,35.312300,35.326037,35.133637,35.518437,False,0.000001,0.014800,conductivity_conductivity:0.2138|conductivity_temperature:0.1940|conductivity_salinity:0.2071|conductivity_density:0.1812|conductivity_soundspeed:0.2039
48,35.440500,35.590914,35.398514,35.783314,False,0.000134,0.014800,conductivity_conductivity:0.2133|conductivity_temperature:0.1935|conductivity_salinity:0.2079|conductivity_density:0.1821|conductivity_soundspeed:0.2032
49,35.398900,35.586656,35.394256,35.779056,False,0.000209,0.014800,conductivity_conductivity:0.2128|conductivity_temperature:0.1937|conductivity_salinity:0.2079|conductivity_density:0.1824|conductivity_soundspeed:0.2032
50,35.469600,35.562875,35.370475,35.755275,False,0.000051,0.014800,conductivity_conductivity:0.2132|conductivity_temperature:0.1938|conductivity_salinity:0.2076|conductivity_density:0.1820|conductivity_soundspeed:0.2034
51,35.495800,35.692463,35.500063,35.884863,False,0.000229,0.014800,conductivity_conductivity:0.2133|conductivity_temperature:0.1945|conductivity_salinity:0.2067|conductivity_density:0.1813|conductivity_soundspeed:0.2042
52,35.542400,35.661953,35.469553,35.854353,False,0.000085,0.014800,conductivity_conductivity:0.2136|conductivity_temperature:0.1945|conductivity_salinity:0.2066|conductivity_density:0.1810|conductivity_soundspeed:0.2043
53,35.565800,35.702338,35.509938,35.894738,False,0.000110,0.014800,conductivity_conductivity:0.2139|conductivity_temperature:0.1942|conductivity_salinity:0.2069|conductivity_density:0.1810|conductivity_soundspeed:0.2041
54,35.681200,35.722615,35.530215,35.915015,False,0.000010,0.014800,conductivity_conductivity:0.2144|conductivity_temperature:0.1932|conductivity_salinity:0.2078|conductivity_density:0.1811|conductivity_soundspeed:0.2035
55,35.697600,35.956195,35.763795,36.148595,False,0.000396,0.014800,conductivity_conductivity:0.2148|conductivity_temperature:0.1923|conductivity_salinity:0.2087|conductivity_density:0.1814|conductivity_soundspeed:0.2028
56,35.826700,35.569654,35.377254,35.762054,False,0.000391,0.014800,conductivity_conductivity:0.2155|conductivity_temperature:0.1918|conductivity_salinity:0.2090|conductivity_density:0.1810|conductivity_soundspeed:0.2026
57,35.422200,35.932353,35.739953,36.124753,False,0.001540,0.014800,conductivity_conductivity:0.2148|conductivity_temperature:0.1929|conductivity_salinity:0.2080|conductivity_density:0.1810|conductivity_soundspeed:0.2033
58,35.364400,35.069244,34.876844,35.261644,False,0.000515,0.014800,conductivity_conductivity:0.2139|conductivity_temperature:0.1945|conductivity_salinity:0.2065|conductivity_density:0.1807|conductivity_soundspeed:0.2044
59,35.339000,35.529751,35.337351,35.722151,False,0.000215,0.014800,conductivity_conductivity:0.2126|conductivity_temperature:0.1959|conductivity_salinity:0.2055|conductivity_density:0.1810|conductivity_soundspeed:0.2051
60,35.576500,35.498045,35.305645,35.690445,False,0.000036,0.014800,conductivity_conductivity:0.2130|conductivity_temperature:0.1958|conductivity_salinity:0.2053|conductivity_density:0.1806|conductivity_soundspeed:0.2052
61,35.492700,35.337838,35.145438,35.530238,False,0.000142,0.014800,conductivity_conductivity:0.2132|conductivity_temperature:0.1963|conductivity_salinity:0.2046|conductivity_density:0.1800|conductivity_soundspeed:0.2058
62,35.451400,35.348580,35.156180,35.540980,False,0.000063,0.014800,conductivity_conductivity:0.2134|conductivity_temperature:0.1975|conductivity_salinity:0.2032|conductivity_density:0.1789|conductivity_soundspeed:0.2070
63,35.514900,35.236053,35.043653,35.428453,False,0.000460,0.014800,conductivity_conductivity:0.2132|conductivity_temperature:0.1987|conductivity_salinity:0.2019|conductivity_density:0.1782|conductivity_soundspeed:0.2080
64,35.799900,35.669098,35.476698,35.861498,False,0.000101,0.014800,conductivity_conductivity:0.2139|conductivity_temperature:0.1985|conductivity_salinity:0.2018|conductivity_density:0.1776|conductivity_soundspeed:0.2081
65,36.017000,35.645837,35.453437,35.838237,False,0.000815,0.014800,conductivity_conductivity:0.2154|conductivity_temperature:0.1976|conductivity_salinity:0.2023|conductivity_density:0.1768|conductivity_soundspeed:0.2080
66,35.679700,36.292175,36.099775,36.484575,False,0.002220,0.014800,conductivity_conductivity:0.2158|conductivity_temperature:0.1979|conductivity_salinity:0.2018|conductivity_density:0.1761|conductivity_soundspeed:0.2084
67,35.627900,35.281989,35.089589,35.474389,False,0.000708,0.014800,conductivity_conductivity:0.2153|conductivity_temperature:0.1991|conductivity_salinity:0.2006|conductivity_density:0.1757|conductivity_soundspeed:0.2093
68,35.588300,35.857027,35.664627,36.049427,False,0.000427,0.014800,conductivity_conductivity:0.2141|conductivity_temperature:0.2002|conductivity_salinity:0.1998|conductivity_density:0.1761|conductivity_soundspeed:0.2098
69,35.509500,35.432568,35.240168,35.624968,False,0.000035,0.014800,conductivity_conductivity:0.2137|conductivity_temperature:0.2002|conductivity_salinity:0.2001|conductivity_density:0.1765|conductivity_soundspeed:0.2096
70,35.491600,35.263835,35.071435,35.456235,False,0.000307,0.014800,conductivity_conductivity:0.2133|conductivity_temperature:0.2002|conductivity_salinity:0.2001|conductivity_density:0.1768|conductivity_soundspeed:0.2095
71,35.482900,35.553605,35.361205,35.746005,False,0.000030,0.014800,conductivity_conductivity:0.2131|conductivity_temperature:0.2001|conductivity_salinity:0.2004|conductivity_density:0.1772|conductivity_soundspeed:0.2092
72,35.555200,35.722922,35.530522,35.915322,False,0.000166,0.014800,conductivity_conductivity:0.2132|conductivity_temperature:0.2001|conductivity_salinity:0.2003|conductivity_density:0.1771|conductivity_soundspeed:0.2093
73,35.463200,35.710626,35.518226,35.903026,False,0.000362,0.014800,conductivity_conductivity:0.2132|conductivity_temperature:0.1996|conductivity_salinity:0.2009|conductivity_density:0.1775|conductivity_soundspeed:0.2088
74,35.463900,35.342320,35.149920,35.534720,False,0.000087,0.014800,conductivity_conductivity:0.2131|conductivity_temperature:0.1999|conductivity_salinity:0.2006|conductivity_density:0.1773|conductivity_soundspeed:0.2091
75,35.464500,35.300162,35.107762,35.492562,False,0.000160,0.014800,conductivity_conductivity:0.2128|conductivity_temperature:0.2002|conductivity_salinity:0.2003|conductivity_density:0.1773|conductivity_soundspeed:0.2093
76,35.483000,35.314983,35.122583,35.507383,False,0.000167,0.014800,conductivity_conductivity:0.2129|conductivity_temperature:0.2004|conductivity_salinity:0.2001|conductivity_density:0.1772|conductivity_soundspeed:0.2094
77,35.426500,35.331745,35.139345,35.524145,False,0.000053,0.014800,conductivity_conductivity:0.2128|conductivity_temperature:0.2003|conductivity_salinity:0.2003|conductivity_density:0.1774|conductivity_soundspeed:0.2093
78,35.292500,35.203134,35.010734,35.395534,False,0.000047,0.014800,conductivity_conductivity:0.2124|conductivity_temperature:0.2001|conductivity_salinity:0.2006|conductivity_density:0.1779|conductivity_soundspeed:0.2090
79,35.252900,35.065164,34.872764,35.257564,False,0.000209,0.014800,conductivity_conductivity:0.2119|conductivity_temperature:0.2003|conductivity_salinity:0.2006|conductivity_density:0.1783|conductivity_soundspeed:0.2089
80,35.361900,35.097805,34.905405,35.290205,False,0.000413,0.014800,conductivity_conductivity:0.2117|conductivity_temperature:0.2001|conductivity_salinity:0.2009|conductivity_density:0.1786|conductivity_soundspeed:0.2086
81,35.605900,35.497269,35.304869,35.689669,False,0.000070,0.014800,conductivity_conductivity:0.2125|conductivity_temperature:0.1995|conductivity_salinity:0.2013|conductivity_density:0.1783|conductivity_soundspeed:0.2084
82,35.654300,35.401812,35.209412,35.594212,False,0.000377,0.014800,conductivity_conductivity:0.2136|conductivity_temperature:0.1987|conductivity_salinity:0.2018|conductivity_density:0.1778|conductivity_soundspeed:0.2082
