timestamp,conductivity_conductivity_observed,conductivity_conductivity_predicted,conductivity_conductivity_low,conductivity_conductivity_high,conductivity_conductivity_anomalous,err,threshold,attention_weights
17,36.687400,35.409031,35.242631,35.575431,False,0.009670,0.012800,conductivity_conductivity:0.2174|conductivity_temperature:0.1908|conductivity_salinity:0.2094|conductivity_density:0.1799|conductivity_soundspeed:0.2025
18,35.085800,37.246239,37.079839,37.412639,False,0.027618,0.012800,conductivity_conductivity:0.2162|conductivity_temperature:0.1923|conductivity_salinity:0.2082|conductivity_density:0.1800|conductivity_soundspeed:0.2033
19,35.237900,34.693913,34.527513,34.860313,False,0.001751,0.012800,conductivity_conductivity:0.2153|conductivity_temperature:0.1932|conductivity_salinity:0.2075|conductivity_density:0.1803|conductivity_soundspeed:0.2038
20,35.441600,35.547424,35.381024,35.713824,False,0.000066,0.012800,conductivity_conductivity:0.2117|conductivity_temperature:0.1962|conductivity_salinity:0.2054|conductivity_density:0.1816|conductivity_soundspeed:0.2050
21,34.922700,35.657066,35.490666,35.823466,False,0.003191,0.012800,conductivity_conductivity:0.2114|conductivity_temperature:0.1958|conductivity_salinity:0.2060|conductivity_density:0.1823|conductivity_soundspeed:0.2044
22,35.118700,34.496950,34.330550,34.663350,False,0.002287,0.012800,conductivity_conductivity:0.2112|conductivity_temperature:0.1949|conductivity_salinity:0.2071|conductivity_density:0.1832|conductivity_soundspeed:0.2036
23,35.106000,35.499977,35.333577,35.666377,False,0.000918,0.012800,conductivity_conductivity:0.2104|conductivity_temperature:0.1947|conductivity_salinity:0.2077|conductivity_density:0.1842|conductivity_soundspeed:0.2030
24,35.068600,34.812724,34.646324,34.979124,False,0.000387,0.012800,conductivity_conductivity:0.2108|conductivity_temperature:0.1938|conductivity_salinity:0.2086|conductivity_density:0.1844|conductivity_soundspeed:0.2023
25,34.909100,35.186110,35.019710,35.352510,False,0.000454,0.012800,conductivity_conductivity:0.2104|conductivity_temperature:0.1939|conductivity_salinity:0.2086|conductivity_density:0.1849|conductivity_soundspeed:0.2022
26,34.957700,34.729324,34.562924,34.895724,False,0.000309,0.012800,conductivity_conductivity:0.2100|conductivity_temperature:0.1944|conductivity_salinity:0.2082|conductivity_density:0.1849|conductivity_soundspeed:0.2025
27,34.887300,35.031266,34.864866,35.197666,False,0.000123,0.012800,conductivity_conductivity:0.2096|conductivity_temperature:0.1951|conductivity_salinity:0.2076|conductivity_density:0.1848|conductivity_soundspeed:0.2029
28,35.213700,35.037897,34.871497,35.204297,False,0.000183,0.012800,conductivity_conductivity:0.2103|conductivity_temperature:0.1945|conductivity_salinity:0.2080|conductivity_density:0.1845|conductivity_soundspeed:0.2027
29,35.597600,35.069893,34.903493,35.236293,False,0.001648,0.012800,conductivity_conductivity:0.2118|conductivity_temperature:0.1930|conductivity_salinity:0.2091|conductivity_density:0.1840|conductivity_soundspeed:0.2020
30,35.655900,35.976159,35.809759,36.142559,False,0.000607,0.012800,conductivity_conductivity:0.2137|conductivity_temperature:0.1913|conductivity_salinity:0.2104|conductivity_density:0.1833|conductivity_soundspeed:0.2013
31,35.692500,35.447980,35.281580,35.614380,False,0.000354,0.012800,conductivity_conductivity:0.2149|conductivity_temperature:0.1903|conductivity_salinity:0.2111|conductivity_density:0.1828|conductivity_soundspeed:0.2009
32,35.756300,35.780668,35.614268,35.947068,False,0.000004,0.012800,conductivity_conductivity:0.2153|conductivity_temperature:0.1903|conductivity_salinity:0.2109|conductivity_density:0.1824|conductivity_soundspeed:0.2011
33,35.974000,36.053478,35.887078,36.219878,False,0.000037,0.012800,conductivity_conductivity:0.2162|conductivity_temperature:0.1897|conductivity_salinity:0.2112|conductivity_density:0.1819|conductivity_soundspeed:0.2010
34,35.751500,36.228599,36.062199,36.394999,False,0.001347,0.012800,conductivity_conductivity:0.2163|conductivity_temperature:0.1901|conductivity_salinity:0.2107|conductivity_density:0.1815|conductivity_soundspeed:0.2014
35,35.538200,35.405288,35.238888,35.571688,False,0.000105,0.012800,conductivity_conductivity:0.2157|conductivity_temperature:0.1913|conductivity_salinity:0.2096|conductivity_density:0.1812|conductivity_soundspeed:0.2022
36,35.561000,35.368598,35.202198,35.534998,False,0.000219,0.012800,conductivity_conductivity:0.2145|conductivity_temperature:0.1933|conductivity_salinity:0.2077|conductivity_density:0.1809|conductivity_soundspeed:0.2036
37,35.780600,35.402146,35.235746,35.568546,False,0.000848,0.012800,conductivity_conductivity:0.2146|conductivity_temperature:0.1940|conductivity_salinity:0.2068|conductivity_density:0.1803|conductivity_soundspeed:0.2043
38,36.183200,36.062417,35.896017,36.228817,False,0.000086,0.012800,conductivity_conductivity:0.2163|conductivity_temperature:0.1934|conductivity_salinity:0.2068|conductivity_density:0.1791|conductivity_soundspeed:0.2045
39,35.842100,35.976278,35.809878,36.142678,False,0.000107,0.012800,conductivity_conductivity:0.2170|conductivity_temperature:0.1933|conductivity_salinity:0.2066|conductivity_density:0.1784|conductivity_soundspeed:0.2047
40,35.964900,36.011655,35.845255,36.178055,False,0.000013,0.012800,conductivity_conductivity:0.2174|conductivity_temperature:0.1935|conductivity_salinity:0.2062|conductivity_density:0.1778|conductivity_soundspeed:0.2051
41,36.073900,36.234613,36.068213,36.401013,False,0.000153,0.012800,conductivity_conductivity:0.2171|conductivity_temperature:0.1937|conductivity_salinity:0.2060|conductivity_density:0.1779|conductivity_soundspeed:0.2052
42,35.699200,36.240314,36.073914,36.406714,False,0.001733,0.012800,conductivity_conductivity:0.2168|conductivity_temperature:0.1938|conductivity_salinity:0.2061|conductivity_density:0.1782|conductivity_soundspeed:0.2051
43,35.459600,35.328846,35.162446,35.495246,False,0.000101,0.012800,conductivity_conductivity:0.2154|conductivity_temperature:0.1948|conductivity_salinity:0.2055|conductivity_density:0.1789|conductivity_soundspeed:0.2054
44,35.568700,35.284839,35.118439,35.451239,False,0.000477,0.012800,conductivity_conductivity:0.2141|conductivity_temperature:0.1956|conductivity_salinity:0.2051|conductivity_density:0.1797|conductivity_soundspeed:0.2056
45,35.673600,35.718889,35.552489,35.885289,False,0.000012,0.012800,conductivity_conductivity:0.2140|conductivity_temperature:0.1954|conductivity_salinity:0.2053|conductivity_density:0.1798|conductivity_soundspeed:0.2054
46,35.591400,35.947471,35.781071,36.113871,False,0.000750,0.012800,conductivity_conductivity:0.2144|conductivity_temperature:0.1944|conductivity_salinity:0.2064|conductivity_density:0.1802|conductivity_soundspeed:0.2046
47,35.312300,35.326037,35.159637,35.492437,False,0.000001,0.012800,conductivity_conductivity:0.2138|conductivity_temperature:0.1940|conductivity_salinity:0.2071|conductivity_density:0.1812|conductivity_soundspeed:0.2039
48,35.440500,35.590914,35.424514,35.757314,False,0.000134,0.012800,conductivity_conductivity:0.2133|conductivity_temperature:0.1935|conductivity_salinity:0.2079|conductivity_density:0.1821|conductivity_soundspeed:0.2032
49,35.398900,35.586656,35.420256,35.753056,False,0.000209,0.012800,conductivity_conductivity:0.2128|conductivity_temperature:0.1937|conductivity_salinity:0.2079|conductivity_density:0.1824|conductivity_soundspeed:0.2032
50,35.469600,35.562875,35.396475,35.729275,False,0.000051,0.012800,conductivity_conductivity:0.2132|conductivity_temperature:0.1938|conductivity_salinity:0.2076|conductivity_density:0.1820|conductivity_soundspeed:0.2034
51,35.495800,35.692463,35.526063,35.858863,False,0.000229,0.012800,conductivity_conductivity:0.2133|conductivity_temperature:0.1945|conductivity_salinity:0.2067|conductivity_density:0.1813|conductivity_soundspeed:0.2042
52,35.542400,35.661953,35.495553,35.828353,False,0.000085,0.012800,conductivity_conductivity:0.2136|conductivity_temperature:0.1945|conductivity_salinity:0.2066|conductivity_density:0.1810|conductivity_soundspeed:0.2043
53,35.565800,35.702338,35.535938,35.868738,False,0.000110,0.012800,conductivity_conductivity:0.2139|conductivity_temperature:0.1942|conductivity_salinity:0.2069|conductivity_density:0.1810|conductivity_soundspeed:0.2041
54,35.681200,35.722615,35.556215,35.889015,False,0.000010,0.012800,conductivity_conductivity:0.2144|conductivity_temperature:0.1932|conductivity_salinity:0.2078|conductivity_density:0.1811|conductivity_soundspeed:0.2035
55,35.697600,35.956195,35.789795,36.122595,False,0.000396,0.012800,conductivity_conductivity:0.2148|conductivity_temperature:0.1923|conductivity_salinity:0.2087|conductivity_density:0.1814|conductivity_soundspeed:0.2028
56,35.826700,35.569654,35.403254,35.736054,False,0.000391,0.012800,conductivity_conductivity:0.2155|conductivity_temperature:0.1918|conductivity_salinity:0.2090|conductivity_density:0.1810|conductivity_soundspeed:0.2026
57,35.422200,35.932353,35.765953,36.098753,False,0.001540,0.012800,conductivity_conductivity:0.2148|conductivity_temperature:0.1929|conductivity_salinity:0.2080|conductivity_density:0.1810|conductivity_soundspeed:0.2033
58,35.364400,35.069244,34.902844,35.235644,False,0.000515,0.012800,conductivity_conductivity:0.2139|conductivity_temperature:0.1945|conductivity_salinity:0.2065|conductivity_density:0.1807|conductivity_soundspeed:0.2044
59,35.339000,35.529751,35.363351,35.696151,False,0.000215,0.012800,conductivity_conductivity:0.2126|conductivity_temperature:0.1959|conductivity_salinity:0.2055|conductivity_density:0.1810|conductivity_soundspeed:0.2051
60,35.576500,35.498045,35.331645,35.664445,False,0.000036,0.012800,conductivity_conductivity:0.2130|conductivity_temperature:0.1958|conductivity_salinity:0.2053|conductivity_density:0.1806|conductivity_soundspeed:0.2052
61,35.492700,35.337838,35.171438,35.504238,False,0.000142,0.012800,conductivity_conductivity:0.2132|conductivity_temperature:0.1963|conductivity_salinity:0.2046|conductivity_density:0.1800|conductivity_soundspeed:0.2058
62,35.451400,35.348580,35.182180,35.514980,False,0.000063,0.012800,conductivity_conductivity:0.2134|conductivity_temperature:0.1975|conductivity_salinity:0.2032|conductivity_density:0.1789|conductivity_soundspeed:0.2070
63,35.514900,35.236053,35.069653,35.402453,False,0.000460,0.012800,conductivity_conductivity:0.2132|conductivity_temperature:0.1987|conductivity_salinity:0.2019|conductivity_density:0.1782|conductivity_soundspeed:0.2080
64,35.799900,35.669098,35.502698,35.835498,False,0.000101,0.012800,conductivity_conductivity:0.2139|conductivity_temperature:0.1985|conductivity_salinity:0.2018|conductivity_density:0.1776|conductivity_soundspeed:0.2081
65,36.017000,35.645837,35.479437,35.812237,False,0.000815,0.012800,conductivity_conductivity:0.2154|conductivity_temperature:0.1976|conductivity_salinity:0.2023|conductivity_density:0.1768|conductivity_soundspeed:0.2080
66,35.679700,36.292175,36.125775,36.458575,False,0.002220,0.012800,conductivity_conductivity:0.2158|conductivity_temperature:0.1979|conductivity_salinity:0.2018|conductivity_density:0.1761|conductivity_soundspeed:0.2084
67,35.627900,35.281989,35.115589,35.448389,False,0.000708,0.012800,conductivity_conductivity:0.2153|conductivity_temperature:0.1991|conductivity_salinity:0.2006|conductivity_density:0.1757|conductivity_soundspeed:0.2093
68,35.588300,35.857027,35.690627,36.023427,False,0.000427,0.012800,conductivity_conductivity:0.2141|conductivity_temperature:0.2002|conductivity_salinity:0.1998|conductivity_density:0.1761|conductivity_soundspeed:0.2098
69,35.509500,35.432568,35.266168,35.598968,False,0.000035,0.012800,conductivity_conductivity:0.2137|conductivity_temperature:0.2002|conductivity_salinity:0.2001|conductivity_density:0.1765|conductivity_soundspeed:0.2096
70,35.491600,35.263835,35.097435,35.430235,False,0.000307,0.012800,conductivity_conductivity:0.2133|conductivity_temperature:0.2002|conductivity_salinity:0.2001|conductivity_density:0.1768|conductivity_soundspeed:0.2095
71,35.482900,35.553605,35.387205,35.720005,False,0.000030,0.012800,conductivity_conductivity:0.2131|conductivity_temperature:0.2001|conductivity_salinity:0.2004|conductivity_density:0.1772|conductivity_soundspeed:0.2092
72,35.555200,35.722922,35.556522,35.889322,False,0.000166,0.012800,conductivity_conductivity:0.2132|conductivity_temperature:0.2001|conductivity_salinity:0.2003|conductivity_density:0.1771|conductivity_soundspeed:0.2093
73,35.463200,35.710626,35.544226,35.877026,False,0.000362,0.012800,conductivity_conductivity:0.2132|conductivity_temperature:0.1996|conductivity_salinity:0.2009|conductivity_density:0.1775|conductivity_soundspeed:0.2088
