idx,is_anomalous,error,threshold
25,False,0.046000,1.100000
26,False,0.024292,1.100000
27,False,0.011214,1.100000
28,False,0.098718,1.100000
29,False,0.078116,1.100000
30,False,0.177705,1.100000
31,False,0.018812,1.100000
32,False,0.105969,1.100000
33,False,0.031138,1.100000
34,False,0.033578,1.100000
35,False,0.002389,1.100000
36,False,0.015413,1.100000
37,False,0.036653,1.100000
38,False,0.035201,1.100000
39,False,0.033825,1.100000
40,False,0.106622,1.100000
41,False,0.064180,1.100000
42,False,0.003034,1.100000
43,False,0.114626,1.100000
44,False,0.048983,1.100000
45,False,0.196859,1.100000
46,False,0.133984,1.100000
47,False,0.093747,1.100000
48,False,0.022284,1.100000
