idx,observed,predicted,lower_bound,upper_bound,is_anomalous,error,threshold
16,308.572,308.3875231742859,307.9255231742859,308.8495231742859,False,0.008385,0.021000
17,308.91,307.1321952342987,306.6701952342987,307.5941952342987,True,0.080809,0.021000
18,309.493,308.82188808918,308.35988808918,309.28388808918,True,0.030505,0.021000
19,310.18,309.1057050228119,308.6437050228119,309.5677050228119,True,0.048832,0.021000
20,310.719,309.5766218304634,309.1146218304634,310.0386218304634,True,0.051926,0.021000
21,311.664,310.3202750682831,309.8582750682831,310.78227506828307,True,0.061078,0.021000
22,312.541,310.326233625412,309.864233625412,310.788233625412,True,0.100671,0.021000
23,313.459,312.5065187215805,312.0445187215805,312.9685187215805,True,0.043295,0.021000
24,314.397,313.14984226226807,312.6878422622681,313.61184226226806,True,0.056689,0.021000
25,315.38,313.23613250255585,312.77413250255586,313.69813250255584,True,0.097449,0.021000
26,316.276,314.5428385734558,314.0808385734558,315.0048385734558,True,0.078780,0.021000
27,317.226,316.55919122695923,316.09719122695924,317.0211912269592,True,0.030309,0.021000
28,317.38,315.50827956199646,315.04627956199647,315.97027956199645,True,0.085078,0.021000
29,317.286,318.03861153125763,317.57661153125764,318.5006115312576,True,0.034210,0.021000
30,317.063,317.3050389289856,316.8430389289856,317.7670389289856,False,0.011002,0.021000
31,316.386,316.4692018032074,316.0072018032074,316.9312018032074,False,0.003782,0.021000
32,315.812,315.3471677303314,314.88516773033143,315.8091677303314,True,0.021129,0.021000
33,314.378,315.66023194789886,315.1982319478989,316.12223194789885,True,0.058283,0.021000
34,312.982,313.78032553195953,313.31832553195954,314.2423255319595,True,0.036288,0.021000
35,312.043,313.00762498378754,312.54562498378755,313.4696249837875,True,0.043847,0.021000
36,311.092,311.82956552505493,311.36756552505494,312.2915655250549,True,0.033526,0.021000
37,309.752,310.3544738292694,309.8924738292694,310.8164738292694,True,0.027385,0.021000
38,308.701,308.94539046287537,308.4833904628754,309.40739046287536,False,0.011109,0.021000
39,307.593,309.08437144756317,308.6223714475632,309.54637144756316,True,0.067790,0.021000
40,307.355,307.4695500135422,307.0075500135422,307.93155001354216,False,0.005207,0.021000
41,307.078,307.631645321846,307.169645321846,308.093645321846,True,0.025166,0.021000
42,307.227,307.2384041547775,306.77640415477754,307.7004041547775,False,0.000518,0.021000
43,307.604,307.30771631002426,306.8457163100243,307.76971631002425,False,0.013467,0.021000
44,308.777,307.52766823768616,307.06566823768617,307.98966823768615,True,0.056788,0.021000
45,309.807,308.77457827329636,308.31257827329637,309.23657827329635,True,0.046928,0.021000
46,310.801,309.4908246397972,309.0288246397972,309.9528246397972,True,0.059553,0.021000
47,311.751,311.0860860347748,310.6240860347748,311.54808603477477,True,0.030223,0.021000
48,313.073,311.4240505695343,310.9620505695343,311.8860505695343,True,0.074952,0.021000
49,314.305,312.6236848831177,312.1616848831177,313.08568488311766,True,0.076423,0.021000
50,315.201,314.27271032333374,313.81071032333375,314.73471032333373,True,0.042195,0.021000
51,315.984,315.53613686561584,315.07413686561586,315.99813686561583,False,0.020357,0.021000
52,316.722,315.6244556903839,315.1624556903839,316.0864556903839,True,0.049888,0.021000
53,317.03,316.9147219657898,316.4527219657898,317.3767219657898,False,0.005240,0.021000
54,317.244,316.843737244606,316.38173724460603,317.305737244606,False,0.018194,0.021000
55,317.157,317.0024310350418,316.5404310350418,317.4644310350418,False,0.007026,0.021000
56,316.653,317.7458475828171,317.2838475828171,318.20784758281707,True,0.049675,0.021000
57,315.831,316.9598832130432,316.4978832130432,317.4218832130432,True,0.051313,0.021000
58,315.205,315.19242882728577,314.7304288272858,315.65442882728576,False,0.000571,0.021000
59,313.756,314.84451150894165,314.38251150894166,315.30651150894164,True,0.049478,0.021000
60,312.554,313.62325382232666,313.16125382232667,314.08525382232665,True,0.048602,0.021000
61,311.545,312.1961282491684,311.7341282491684,312.6581282491684,True,0.029597,0.021000
62,310.251,311.63258826732635,311.17058826732637,312.09458826732634,True,0.062799,0.021000
63,309.053,310.3019312620163,309.8399312620163,310.7639312620163,True,0.056770,0.021000
64,308.286,309.0466564297676,308.5846564297676,309.5086564297676,True,0.034575,0.021000
65,307.733,308.26248067617416,307.8004806761742,308.72448067617415,True,0.024067,0.021000
66,307.531,307.6682326197624,307.20623261976243,308.1302326197624,False,0.006238,0.021000
67,308.199,307.4903118610382,307.0283118610382,307.9523118610382,True,0.032213,0.021000
68,308.791,308.18776005506516,307.72576005506517,308.64976005506514,True,0.027420,0.021000
69,309.426,308.6695383787155,308.2075383787155,309.1315383787155,True,0.034385,0.021000
70,310.573,309.3357664346695,308.8737664346695,309.7977664346695,True,0.056238,0.021000
71,311.99,310.4537092447281,309.9917092447281,310.9157092447281,True,0.069831,0.021000
72,312.957,311.81933081150055,311.35733081150056,312.28133081150054,True,0.051712,0.021000
73,314.051,312.9840399026871,312.5220399026871,313.44603990268706,True,0.048498,0.021000
74,315.773,313.74335861206055,313.28135861206056,314.20535861206054,True,0.092256,0.021000
75,316.871,315.25668263435364,314.79468263435365,315.7186826343536,True,0.073378,0.021000
76,317.499,316.4932917356491,316.0312917356491,316.9552917356491,True,0.045714,0.021000
77,318.362,317.2470269203186,316.7850269203186,317.7090269203186,True,0.050681,0.021000
