idx,observed,predicted,lower_bound,upper_bound,is_anomalous,error,threshold
143,305.14,305.16591596603394,305.1207498013973,305.21108213067055,False,3.0654024459724355e-06,0.002053007483482361
144,304.552,304.55006289482117,304.51137636601925,304.5887494236231,False,7.439451746303175e-07,0.001758478581905365
145,304.563,304.5587115883827,304.52616506814957,304.5912581086159,False,1.3792427742172114e-06,0.0014793872833251953
146,305.166,305.17578089237213,305.1473546475172,305.20420713722706,False,1.1508281843757146e-06,0.001292102038860321
147,305.884,305.87223970890045,305.83766870200634,305.90681071579456,False,4.104474032438254e-07,0.0015714094042778015
148,306.855,306.80952244997025,306.77976965904236,306.83927524089813,False,1.7364283582472944e-06,0.0013523995876312256
149,308.086,308.09446090459824,308.04901756346226,308.1399042457342,False,8.066636589800203e-08,0.002065606415271759
150,309.382,309.41625809669495,309.37103210389614,309.46148408949375,False,8.460494940161774e-07,0.002055726945400238
151,310.747,310.775386095047,310.7259114831686,310.8248607069254,False,5.753554042348353e-07,0.0022488459944725037
152,311.979,312.0125013589859,311.96310329437256,312.06189942359924,False,1.560229743219932e-06,0.0022453665733337402
153,313.334,313.4018601179123,313.3312458395958,313.4724743962288,False,5.38897533739831e-06,0.003209739923477173
154,314.523,313.86541199684143,313.7666837275028,313.96414026618004,False,0.0003901204738490445,0.004487648606300354
155,315.523,315.50772750377655,315.4846346527338,315.5308203548193,False,6.528895636784782e-06,0.0010496750473976135
156,316.522,316.6095976829529,316.51193353533745,316.7072618305683,False,6.291139778214523e-06,0.0044392794370651245
157,316.942,316.9292734861374,316.9072734861374,316.9512734861374,False,3.8001054252608336e-07,0.001
158,316.735,316.7564661502838,316.7344661502838,316.7784661502838,False,1.0506459330572614e-06,0.001
159,316.306,316.33741331100464,316.31541331100465,316.35941331100463,False,2.971352035454023e-06,0.001
160,315.723,315.7456239461899,315.7236239461899,315.7676239461899,False,5.594524140552036e-07,0.001
161,314.78,314.78664243221283,314.76464243221284,314.8086424322128,False,7.116012114973654e-08,0.001
162,313.361,313.35663855075836,313.33463855075837,313.37863855075835,False,2.399149640641214e-07,0.001
163,312.045,312.0032094717026,311.93425415456295,312.0721647888422,False,3.638540754010896e-06,0.003134332597255707
164,310.633,310.61892807483673,310.59012515842915,310.6477309912443,False,1.6349345246942313e-06,0.001309223473072052
165,309.308,309.2813355922699,309.2128267735243,309.3498444110155,False,1.89227231276666e-06,0.0031140372157096863
166,308.023,307.96782648563385,307.9319635182619,308.0036894530058,False,2.6495354238563593e-06,0.0016301348805427551
167,306.727,306.7026401758194,306.64219668507576,306.76308366656303,False,1.8518761521919937e-06,0.0027474313974380493
168,305.854,305.9027746915817,305.86467595398426,305.9408734291792,False,4.754627317903643e-06,0.0017317607998847961
169,305.544,305.5425540804863,305.505249992013,305.5798581689596,False,4.8692469921469115e-08,0.0016956403851509094
170,305.927,305.9417964220047,305.91322380304337,305.97036904096603,False,5.25593020456413e-07,0.001298755407333374
171,306.631,306.63725340366364,306.60628585517406,306.6682209521532,False,5.063968318464362e-07,0.001407615840435028
172,307.611,307.5847465991974,307.551436573267,307.6180566251278,False,5.071510738602625e-07,0.0015140920877456665
173,308.731,308.7697834968567,308.7314224988222,308.80814449489117,False,1.6481420653260822e-06,0.0017436817288398743
174,309.971,310.03801596164703,309.99357265233994,310.08245927095413,False,3.6373719456818055e-06,0.0020201504230499268
175,311.473,311.4296406507492,311.379092246294,311.4801890552044,False,1.7953401762391966e-06,0.0022976547479629517
176,312.72,312.7500944137573,312.6756698191166,312.82451900839806,False,1.1565634552956818e-05,0.003382936120033264
177,313.965,313.9296303987503,313.9076303987503,313.9516303987503,False,4.213563221590996e-06,0.001
178,315.213,315.252313375473,315.23031337547303,315.274313375473,False,3.3938036361443574e-06,0.001
179,316.203,316.2092125415802,316.165156558156,316.2532685250044,False,1.1182558372163046e-06,0.0020025447010993958
180,317.14,317.1575371026993,317.12074622511864,317.1943279802799,False,7.763206578343075e-07,0.001672312617301941
181,317.875,317.84929752349854,317.808045104146,317.89054994285107,False,1.3336005867144135e-06,0.0018751099705696106
182,317.785,317.83351469039917,317.8049178123474,317.8621115684509,False,3.560211601129032e-06,0.0012998580932617188
183,316.967,317.0172907114029,316.98779214918613,317.04678927361965,False,3.3895513119957086e-06,0.0013408437371253967
184,316.272,316.27461373806,316.23585918545723,316.31336829066277,False,5.516652048853845e-07,0.0017615705728530884
185,315.444,315.4734671115875,315.44521576166153,315.5017184615135,False,1.0120675371085753e-06,0.0012841522693634033
186,314.135,314.13392210006714,314.0922162979841,314.17562790215015,False,2.3667690916633354e-08,0.001895718276500702
187,312.668,312.66484928131104,312.60353623330593,312.72616232931614,False,2.4226747306888895e-06,0.0027869567275047302
188,310.854,310.8320959806442,310.77770332992077,310.8864886313677,False,4.544249995382055e-06,0.002472393214702606
189,309.348,309.3531975746155,309.26737727224827,309.4390178769827,False,5.3022624384709305e-08,0.0039009228348731995
190,308.293,308.3041394352913,308.2821394352913,308.3261394352913,False,5.698676445076767e-07,0.001
191,306.871,306.906427025795,306.884427025795,306.928427025795,False,1.111650541562072e-06,0.001
192,305.434,305.46111369132996,305.43911369132996,305.48311369132995,False,1.9025946182227177e-06,0.001
193,304.688,304.7364238500595,304.7144238500595,304.7584238500595,False,2.9053180194778915e-06,0.001
194,304.564,304.5316233634949,304.5096233634949,304.55362336349486,False,1.898513749880886e-06,0.001
195,304.896,304.86444038152695,304.84244038152696,304.88644038152694,False,1.5712461639186838e-06,0.001
196,305.479,305.45684146881104,305.43484146881104,305.478841468811,False,3.635911871997483e-07,0.001
197,306.382,306.3591983318329,306.3371983318329,306.3811983318329,False,4.650262142496431e-07,0.001
198,307.591,307.6263102889061,307.6043102889061,307.6483102889061,False,1.0317165554935102e-06,0.001
199,308.959,308.95278882980347,308.9307888298035,308.97478882980346,False,2.3424811212331167e-07,0.001
200,310.201,310.17701268196106,310.13479629158974,310.2192290723324,False,4.086254879479798e-07,0.0019189268350601196
201,311.356,311.32159066200256,311.26824590563774,311.3749354183674,False,9.476055640691775e-07,0.002424761652946472
202,312.63,312.603612780571,312.581612780571,312.625612780571,False,5.276794227874876e-07,0.001
203,313.884,313.8806873559952,313.8586873559952,313.90268735599517,False,8.322943768788965e-09,0.001
204,314.863,314.88972783088684,314.86772783088685,314.91172783088683,False,4.938801146708831e-07,0.001
